,MW,EXACT_MW,LOGP,TPSA,ATOM,HBA,HBD,ROTB,AROM,ALERTS,DL
MW,1.0,0.9999987894327651,-0.1793020432137435,0.845467643101657,0.9562206592714739,0.8461272882246382,0.7421230036280694,0.6424845610330384,0.18713481535137944,0.30033075253659514,-0.7201683484267905
EXACT_MW,0.9999987894327651,1.0,-0.17957715375967123,0.8456042808946134,0.9562921557044495,0.8462570319809726,0.7422791746595454,0.6425821265360573,0.18691572145002375,0.30025014047332854,-0.7202461462322487
LOGP,-0.1793020432137435,-0.17957715375967123,1.0,-0.5370740810321973,-0.03997242043558745,-0.5405096216107801,-0.5492188923683461,-0.03679480364899855,-0.03938026576669134,0.12786492868580715,0.2325066655304252
TPSA,0.845467643101657,0.8456042808946134,-0.5370740810321973,1.0,0.7046789142000348,0.9802123173196656,0.9226078575617686,0.5259868176733183,0.2917671568576719,0.20851898173021097,-0.663323898691816
ATOM,0.9562206592714739,0.9562921557044495,-0.03997242043558745,0.7046789142000348,1.0,0.7023181814933461,0.6274196453986672,0.6772403371899405,-0.009101646665447057,0.3244461896650301,-0.7131492388922496
HBA,0.8461272882246382,0.8462570319809726,-0.5405096216107801,0.9802123173196656,0.7023181814933461,1.0,0.8985443779068967,0.5121608975979037,0.31994113142705194,0.14686118261279757,-0.6218951465353348
HBD,0.7421230036280694,0.7422791746595454,-0.5492188923683461,0.9226078575617686,0.6274196453986672,0.8985443779068967,1.0,0.43810872846210164,0.23849644465643874,0.10002498774583625,-0.6194693219042303
ROTB,0.6424845610330384,0.6425821265360573,-0.03679480364899855,0.5259868176733183,0.6772403371899405,0.5121608975979037,0.43810872846210164,1.0,0.017896093939329394,0.46289436968053865,-0.6961262910994304
AROM,0.18713481535137944,0.18691572145002375,-0.03938026576669134,0.2917671568576719,-0.009101646665447057,0.31994113142705194,0.23849644465643874,0.017896093939329394,1.0,-0.17064980907717622,0.0349149342748895
ALERTS,0.30033075253659514,0.30025014047332854,0.12786492868580715,0.20851898173021097,0.3244461896650301,0.14686118261279757,0.10002498774583625,0.46289436968053865,-0.17064980907717622,1.0,-0.5226235062319725
DL,-0.7201683484267905,-0.7202461462322487,0.2325066655304252,-0.663323898691816,-0.7131492388922496,-0.6218951465353348,-0.6194693219042303,-0.6961262910994304,0.0349149342748895,-0.5226235062319725,1.0
